game_id,game_date,week,home_team,away_team,home_score,away_score,predicted_spread,home_win_probability,confidence,model_disagreement,home_win_prob_from_model,win_prob_from_spread,home_win,actual_margin,predicted_margin,predicted_home_win,correct_winner
2025_05_LV_IND,2025-10-05,5,IND,LV,40,6,-5.26946228609156,0.8512335828773963,0.7024671657547925,0.06573978133200109,0.8800047981430357,0.8142650168110346,1,34,5.26946228609156,1,True
2025_05_MIA_CAR,2025-10-05,5,CAR,MIA,27,24,-2.2915383427477165,0.6863990550173455,0.3727981100346911,0.08186558543935363,0.7239879753602235,0.6421223899208699,1,3,2.2915383427477165,1,True
2025_05_MIN_CLE,2025-10-05,5,CLE,MIN,17,21,0.21402440409284262,0.36580583088335633,0.26838833823328734,0.37008332441680114,0.08824333757075552,0.45832666198755667,0,-4,-0.21402440409284262,0,True
2025_05_NE_BUF,2025-10-05,5,BUF,NE,20,23,1.9448945758210439,0.3408466846119201,0.31830663077615984,0.00941150997698842,0.3442588151305953,0.3348473051536069,0,-3,-1.9448945758210439,0,True
2025_05_NYG_NO,2025-10-05,5,NO,NYG,26,14,-4.085171391192212,0.6464537235622199,0.2929074471244397,0.43212542418741484,0.3223596554216588,0.7544850796090736,1,12,4.085171391192212,1,True
2025_05_TB_SEA,2025-10-05,5,SEA,TB,35,38,-2.18083954000336,0.678914870062777,0.3578297401255539,0.08228985580078552,0.7167451467500039,0.6344552909492184,0,-3,2.18083954000336,1,False
2025_05_TEN_ARI,2025-10-05,5,ARI,TEN,21,22,-2.652984386250393,0.7188381499218197,0.4376762998436394,0.1013964509384786,0.7680352281008462,0.6666387771623676,0,-1,2.652984386250393,1,False
2025_05_WAS_LAC,2025-10-05,5,LAC,WAS,10,27,-0.8756383212025435,0.5271778264936597,0.05435565298731948,0.02037765917986245,0.5194919804558403,0.5398696396357028,0,-17,0.8756383212025435,1,False
2025_05_KC_JAX,2025-10-06,5,JAX,KC,31,28,-1.7021827623523091,0.4884150356575111,0.023169928684977803,0.4485627832601299,0.1519929482124137,0.6005557314725436,1,3,1.7021827623523091,0,False
2025_06_PHI_NYG,2025-10-09,6,NYG,PHI,34,17,-3.300991125078645,0.5972574306055616,0.19451486121112316,0.4444031941088542,0.2639550350239209,0.7083582291327751,1,17,3.300991125078645,1,True
2025_06_ARI_IND,2025-10-12,6,IND,ARI,31,27,-1.937702429784886,0.6957839096143921,0.39156781922878414,0.2190479299911834,0.8364266792892028,0.6173787492980194,1,4,1.937702429784886,1,True
2025_06_CIN_GB,2025-10-12,6,GB,CIN,27,18,-4.067810771118597,0.7983378810998247,0.5966757621996495,0.08312640327657062,0.8366454541422232,0.7535190508656526,1,9,4.067810771118597,1,True
2025_06_CLE_PIT,2025-10-12,6,PIT,CLE,23,9,-1.2895614638876802,0.6480416443367627,0.2960832886735254,0.2794827122409118,0.850008042209797,0.5705253299688852,1,14,1.2895614638876802,1,True
2025_06_DAL_CAR,2025-10-12,6,CAR,DAL,30,27,-5.3495395350944985,0.8854118902574597,0.7708237805149194,0.15016440240780116,0.9680352281008462,0.817870825693045,1,3,5.3495395350944985,1,True
2025_06_DEN_NYJ,2025-10-12,6,NYJ,DEN,11,13,-2.24167484694259,0.5010689763221338,0.0021379526442675267,0.5504341850018376,0.08824333757075552,0.6386775225725931,0,-2,2.24167484694259,1,False
2025_06_DET_KC,2025-10-12,6,KC,DET,30,17,2.813159937606315,0.22141512826804394,0.5571697434639121,0.11792449957227777,0.1615999699519172,0.27952446952419496,1,13,-2.813159937606315,0,False
2025_06_LAC_MIA,2025-10-12,6,MIA,LAC,27,29,-3.1645140045039364,0.546932089472295,0.09386417894458998,0.611585002535386,0.08824333757075552,0.6998283401061415,0,-2,3.1645140045039364,1,False
2025_06_LA_BAL,2025-10-12,6,BAL,LA,3,17,-1.4198734527634822,0.45711838492294404,0.08576323015411191,0.4918333964695847,0.08824333757075552,0.5800767340403402,0,-14,1.4198734527634822,0,True
2025_06_NE_NO,2025-10-12,6,NO,NE,19,25,-2.7673692498995868,0.5277263251877033,0.0554526503754067,0.585977316822597,0.08824333757075552,0.6742206543933525,0,-6,2.7673692498995868,1,False
2025_06_SEA_JAX,2025-10-12,6,JAX,SEA,12,20,-8.276441007340683,0.7273930286947947,0.45478605738958944,0.7516038166844123,0.1636901661814854,0.9152939828658978,0,-8,8.276441007340683,1,False
2025_06_SF_TB,2025-10-12,6,TB,SF,30,19,-6.3571255222365926,0.7502378406900434,0.5004756813800868,0.43371743457445205,0.4249497647592044,0.8586671993336564,1,11,6.3571255222365926,1,True
2025_06_TEN_LV,2025-10-12,6,LV,TEN,20,10,-0.38320186572062,0.43903650357073076,0.12192699285853847,0.13686141562107512,0.36616027865561496,0.5030216942766901,1,10,0.38320186572062,0,False
2025_06_BUF_ATL,2025-10-13,6,ATL,BUF,24,14,-6.244152247819554,0.761534757094553,0.523069514189106,0.3718766981354734,0.4826272334929479,0.8545039316284213,1,10,6.244152247819554,1,True
2025_06_CHI_WAS,2025-10-13,6,WAS,CHI,24,25,-4.390568294761163,0.7691055044895907,0.5382110089791814,0.0030231164141144573,0.7680352281008462,0.7710583445149607,0,-1,4.390568294761163,1,False
2025_07_PIT_CIN,2025-10-16,7,CIN,PIT,33,31,-2.209735195867764,0.5153457850719199,0.03069157014383972,0.4844704491460081,0.1519929482124137,0.6364633973584218,1,2,2.209735195867764,1,True
2025_07_ATL_SF,2025-10-19,7,SF,ATL,20,10,-8.180134711157244,0.8418142759490903,0.6836285518981806,0.16626080070363303,0.7467661239020011,0.9130269246056342,1,10,8.180134711157244,1,True
2025_07_CAR_NYJ,2025-10-19,7,NYJ,CAR,6,13,-0.1417481961605671,0.3857487967948728,0.22850240641025443,0.39667394563215636,0.08824333757075552,0.4849172832029119,0,-7,0.1417481961605671,0,True
2025_07_GB_ARI,2025-10-19,7,ARI,GB,23,27,-7.636516487486866,0.7227510244447426,0.4455020488894852,0.7056922668707952,0.1934818242916462,0.8991740911624414,0,-4,7.636516487486866,1,False
2025_07_IND_LAC,2025-10-19,7,LAC,IND,24,38,-7.209636732910696,0.7243617675024728,0.44872353500494566,0.6503765819500666,0.23657933103992285,0.8869559129899895,0,-14,7.209636732910696,1,False
2025_07_LA_JAX,2025-10-19,7,JAX,LA,7,35,-1.0671996439384033,0.47643198388995317,0.04713603222009366,0.20974385757010233,0.34436498602256754,0.5541088435926699,0,-28,1.0671996439384033,0,True
2025_07_LV_KC,2025-10-19,7,KC,LV,31,0,-4.756915343848837,0.863361677094736,0.726723354189472,0.17815543911602882,0.9680352281008462,0.7898797889848174,1,31,4.756915343848837,1,True
2025_07_MIA_CLE,2025-10-19,7,CLE,MIA,31,6,-7.91044623051149,0.8500904724207703,0.7001809448415406,0.11262405595667113,0.7937598155290936,0.9063838714857647,1,25,7.91044623051149,1,True
2025_07_NE_TEN,2025-10-19,7,TEN,NE,13,31,0.43308123235191825,0.3693391234633997,0.2613217530732006,0.17395056378754842,0.26811136128174984,0.44206192506929826,0,-18,-0.43308123235191825,0,True
2025_07_NO_CHI,2025-10-19,7,CHI,NO,26,14,-0.7017431824796314,0.4511998419374777,0.0976003161250446,0.2952200486986418,0.2316663220214484,0.5268863707200903,1,12,0.7017431824796314,0,False
2025_07_NYG_DEN,2025-10-19,7,DEN,NYG,33,32,-3.343620718225955,0.7138729845582166,0.42774596911643314,0.0044714729158835675,0.7154646588388258,0.7109931859229423,1,1,3.343620718225955,1,True
2025_07_PHI_MIN,2025-10-19,7,MIN,PHI,22,28,-3.625588479182576,0.802258847367245,0.6045176947344899,0.1823899106635456,0.9104500887819608,0.7280601781184152,0,-6,3.625588479182576,1,False
