game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
823208,2026-06-24,San Francisco Giants,Athletics,-101,-118,https://fantasydata.com/mlb/athletics-odds
823284,2026-06-24,San Diego Padres,Atlanta Braves,-102,-118,https://fantasydata.com/mlb/atlanta-braves-odds
823367,2026-06-24,Pittsburgh Pirates,Seattle Mariners,-112,-106,https://fantasydata.com/mlb/pittsburgh-pirates-odds
823611,2026-06-24,New York Mets,Chicago Cubs,-107,-113,https://fantasydata.com/mlb/chicago-cubs-odds
823613,2026-06-24,New York Mets,Chicago Cubs,-120,100,https://fantasydata.com/mlb/chicago-cubs-odds
823691,2026-06-24,Minnesota Twins,Los Angeles Dodgers,136,-163,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823850,2026-06-24,Miami Marlins,Texas Rangers,100,-119,https://fantasydata.com/mlb/miami-marlins-odds
824018,2026-06-24,Los Angeles Angels,Baltimore Orioles,-112,-106,https://fantasydata.com/mlb/baltimore-orioles-odds
824259,2026-06-24,Detroit Tigers,New York Yankees,-132,111,https://fantasydata.com/mlb/detroit-tigers-odds
824341,2026-06-24,Colorado Rockies,Boston Red Sox,144,-172,https://fantasydata.com/mlb/boston-red-sox-odds
824500,2026-06-24,Cincinnati Reds,Milwaukee Brewers,113,-134,https://fantasydata.com/mlb/cincinnati-reds-odds
824583,2026-06-24,Chicago White Sox,Cleveland Guardians,-103,-117,https://fantasydata.com/mlb/chicago-white-sox-odds
822717,2026-06-25,Washington Nationals,Philadelphia Phillies,152,-182,https://fantasydata.com/mlb/philadelphia-phillies-odds
822797,2026-06-25,Toronto Blue Jays,Texas Rangers,-144,120,https://fantasydata.com/mlb/texas-rangers-odds
822961,2026-06-25,Tampa Bay Rays,Kansas City Royals,-151,127,https://fantasydata.com/mlb/kansas-city-royals-odds
823209,2026-06-25,San Francisco Giants,Athletics,-135,114,https://fantasydata.com/mlb/athletics-odds
823366,2026-06-25,Pittsburgh Pirates,Seattle Mariners,129,-153,https://fantasydata.com/mlb/pittsburgh-pirates-odds
823612,2026-06-25,New York Mets,Chicago Cubs,-108,-110,https://fantasydata.com/mlb/chicago-cubs-odds
824258,2026-06-25,Detroit Tigers,Houston Astros,-121,102,https://fantasydata.com/mlb/detroit-tigers-odds
824747,2026-06-25,Boston Red Sox,New York Yankees,124,-150,https://fantasydata.com/mlb/boston-red-sox-odds
822796,2026-06-26,Toronto Blue Jays,Texas Rangers,-112,-106,https://fantasydata.com/mlb/texas-rangers-odds
822962,2026-06-26,Tampa Bay Rays,Arizona Diamondbacks,-137,116,https://fantasydata.com/mlb/arizona-diamondbacks-odds
823039,2026-06-26,St. Louis Cardinals,Miami Marlins,-106,-113,https://fantasydata.com/mlb/miami-marlins-odds
823206,2026-06-26,San Francisco Giants,Atlanta Braves,103,-123,https://fantasydata.com/mlb/atlanta-braves-odds
823285,2026-06-26,San Diego Padres,Los Angeles Dodgers,125,-149,https://fantasydata.com/mlb/los-angeles-dodgers-odds
823363,2026-06-26,Pittsburgh Pirates,Cincinnati Reds,-183,153,https://fantasydata.com/mlb/cincinnati-reds-odds
823610,2026-06-26,New York Mets,Philadelphia Phillies,134,-159,https://fantasydata.com/mlb/new-york-mets-odds
823688,2026-06-26,Minnesota Twins,Colorado Rockies,-180,150,https://fantasydata.com/mlb/colorado-rockies-odds
823773,2026-06-26,Milwaukee Brewers,Chicago Cubs,-255,209,https://fantasydata.com/mlb/chicago-cubs-odds
824014,2026-06-26,Los Angeles Angels,Athletics,-104,-115,https://fantasydata.com/mlb/athletics-odds
